\ex (1).jpg,0,1249,2187,1505,2444,0.037000,Melanocytic nevus
\ex (1).jpg,1,1105,2054,1609,2558,0.014900,Melanocytic nevus
\ex (1).jpg,2,450,1840,725,2115,0.013200,-
\ex (1).jpg,3,1777,2322,2033,2578,0.028800,
\ex (1).jpg,4,393,1867,666,2140,0.013100,-
\ex (1).jpg,5,2510,3195,2766,3451,0.000400,-
\ex (1).jpg,0,1249,2187,1505,2444,0.037000,Melanocytic nevus
\ex (1).jpg,1,1105,2054,1609,2558,0.014900,Melanocytic nevus
\ex (1).jpg,2,450,1840,725,2115,0.013200,-
\ex (1).jpg,3,1777,2322,2033,2578,0.028800,
\ex (1).jpg,4,393,1867,666,2140,0.013100,-
\ex (1).jpg,5,2510,3195,2766,3451,0.000400,-
\ex (10).jpg,0,1492,1346,1816,1670,0.003300,Melanocytic nevus
\ex (10).jpg,1,1348,1228,1914,1794,0.007000,Melanocytic nevus
\ex (10).jpg,2,1523,1387,1779,1642,0.002700,Melanocytic nevus
\ex (10).jpg,3,1512,1512,1768,1767,0.005800,Melanocytic nevus
\ex (10).jpg,4,2129,1427,2564,1861,0.000900,cherryhemangioma
\ex (10).jpg,5,1206,2204,1504,2503,0.000500,-
\ex (10).jpg,6,2246,1567,2502,1823,0.000100,cherryhemangioma
\ex (10).jpg,7,1226,2235,1482,2491,0.000700,-
\ex (10).jpg,8,1556,1257,1812,1512,0.029700,Melanocytic nevus
\ex (2).jpg,0,1344,1572,1657,1884,0.006100,Melanocytic nevus
\ex (2).jpg,1,1377,1605,1633,1861,0.009500,Melanocytic nevus
\ex (2).jpg,2,1262,2404,1586,2729,0.000300,Melanocytic nevus
\ex (2).jpg,3,1095,2235,1721,2860,0.000200,Melanocytic nevus
\ex (2).jpg,4,1229,1435,1787,1993,0.003100,Melanocytic nevus
\ex (2).jpg,5,1298,2460,1554,2715,0.000500,Melanocytic nevus
\ex (2).jpg,6,1256,2520,1512,2776,0.000400,Melanocytic nevus
\ex (2).jpg,7,353,1860,609,2115,0.000200,-
\ex (2).jpg,8,1512,1581,1768,1838,0.003800,Melanocytic nevus
\ex (2).jpg,9,1256,1601,1512,1857,0.003300,Melanocytic nevus
\ex (3).jpg,0,1515,1764,1771,2020,0.004200,Melanocytic nevus
\ex (3).jpg,1,1489,1688,1779,1979,0.002900,Melanocytic nevus
\ex (3).jpg,2,1488,1764,1791,2066,0.001100,Melanocytic nevus
\ex (3).jpg,3,1472,1671,1813,2013,0.003400,Melanocytic nevus
\ex (3).jpg,4,1512,1679,1768,1934,0.001100,Melanocytic nevus
\ex (3).jpg,5,1054,2777,1390,3113,0.000200,-
\ex (3).jpg,6,1052,2159,1327,2434,0.010300,-
\ex (3).jpg,7,1083,2181,1399,2496,0.017700,-
\ex (3).jpg,8,1100,2779,1356,3035,0.001200,-
\ex (3).jpg,9,1845,934,2264,1353,0.037800,-
\ex (4).jpg,0,1329,1911,1696,2277,0.000000,Hemangioma
\ex (4).jpg,1,1385,1980,1641,2236,0.000000,Hemangioma
\ex (4).jpg,2,1120,1739,1840,2458,0.000000,Hemangioma
\ex (4).jpg,3,1176,2328,1432,2583,0.001500,-
\ex (4).jpg,4,952,2149,1208,2404,0.016000,-
\ex (4).jpg,5,962,2362,1218,2618,0.000600,Lentigo
\ex (4).jpg,6,345,2357,601,2612,0.000300,-
\ex (4).jpg,7,785,3408,1041,3663,0.003500,-
\ex (4).jpg,8,476,2669,732,2926,0.000100,-
\ex (4).jpg,9,775,3346,1044,3615,0.004900,-
\ex (5).jpg,0,1272,1975,1560,2262,0.323300,Malignant melanoma
\ex (5).jpg,1,1255,1923,1586,2253,0.211400,Seborrheic keratosis
\ex (5).jpg,2,1256,2020,1512,2277,0.317100,Malignant melanoma
\ex (5).jpg,3,1197,1970,1512,2285,0.362400,Malignant melanoma
\ex (5).jpg,4,518,2573,774,2829,0.000700,-
\ex (5).jpg,5,487,2543,791,2848,0.000100,-
\ex (5).jpg,6,574,2619,830,2875,0.000500,-
\ex (5).jpg,7,1406,2540,1662,2797,0.000300,-
\ex (5).jpg,8,578,2020,834,2276,0.000200,-
\ex (5).jpg,9,2457,2219,2722,2484,0.001800,-
\ex (5).jpg,10,1659,2679,1915,2935,0.009900,-
\ex (5).jpg,11,1705,1914,1961,2170,0.000100,Epidermal cyst
\ex (5).jpg,12,2136,2183,2397,2444,0.000400,-
\ex (5).jpg,13,2441,885,2716,1160,0.000600,-
\ex (5).jpg,14,2382,886,2644,1149,0.004000,-
\ex (6).jpg,0,1087,1327,1700,1939,0.000900,Melanocytic nevus
\ex (6).jpg,1,1239,1470,1554,1785,0.000100,Melanocytic nevus
\ex (6).jpg,2,1253,1530,1509,1786,0.000400,Melanocytic nevus
\ex (6).jpg,3,1993,777,2299,1083,0.000600,-
\ex (6).jpg,4,1927,760,2352,1186,0.000700,-
\ex (6).jpg,5,2008,771,2264,1027,0.000800,-
\ex (1).jpg,0,1249,2187,1505,2444,0.037000,Melanocytic nevus
\ex (1).jpg,1,1105,2054,1609,2558,0.014900,Melanocytic nevus
\ex (1).jpg,2,450,1840,725,2115,0.013200,-
\ex (1).jpg,3,1777,2322,2033,2578,0.028800,
\ex (1).jpg,4,393,1867,666,2140,0.013100,-
\ex (1).jpg,5,2510,3195,2766,3451,0.000400,-
